score,threshold,axis,group,sensitivity,specificity,ppv,npv,n,prevalence,positive_rate
news2,5,age_group,50-59,0.9909182643794148,0.12822402358142962,0.07016791711325474,0.9953198127925117,15918,0.062256564895087324,0.8791933660007538
news2,5,age_group,40-49,0.983957219251337,0.13612430974701425,0.05186751233262861,0.9943714821763602,8161,0.045827717191520644,0.8693787526038476
news2,5,age_group,30-39,0.990521327014218,0.15416238437821173,0.048334875115633676,0.9973404255319149,5076,0.04156816390858944,0.8518518518518519
news2,5,diag_type,Cardiac,0.9881533101045297,0.11854235993671922,0.08067819754210287,0.9922374429223745,19766,0.07259941313366387,0.8892036830921785
news2,5,diag_type,Medical,0.9874225300765586,0.123960285078887,0.09770042384344846,0.9903469501958589,62593,0.08764558337194255,0.8858019267330213
news2,5,diag_type,Surgical,0.9855491329479769,0.11973969631236442,0.07751761764037281,0.9910233393177738,4956,0.06981436642453591,0.8876109765940274
news2,9,overall,overall,0.9035365350213292,0.4554517289626224,0.1309115559454502,0.981135122043112,87315,0.08322739506384928,0.5744259291072553
news2,9,race_cat,White,0.9083495834071973,0.4360640255320535,0.1288829640063385,0.981060189764443,67054,0.08412622662331852,0.5929101917857249
news2,9,race_cat,Other,0.8991935483870968,0.5351222013331055,0.1408717624763108,0.9842816724300535,6347,0.07814715613675752,0.4988183393729321
news2,9,race_cat,Hispanic,0.8690476190476191,0.519046144317126,0.15826558265582655,0.9744186046511628,3565,0.09424964936886396,0.517531556802244
news2,9,race_cat,Black,0.8881019830028328,0.5100584795321638,0.13019102990033224,0.9822072072072072,9256,0.07627484874675886,0.5203111495246326
news2,9,race_cat,Asian,0.875,0.5074626865671642,0.1346153846153846,0.9788867562380038,1093,0.08051235132662397,0.5233302836230558
news2,9,sex,Male,0.9054956343091937,0.46680075883979794,0.13130259924033663,0.9823000336684142,47645,0.0817294574456921,0.5636268233812572
news2,9,sex,Female,0.9012455516014235,0.4416701116163704,0.13044038114859643,0.9796442325325508,39657,0.08502912474468569,0.587487707088282
news2,9,age_group,60-69,0.9047051816557474,0.445980514885974,0.1298512566250641,0.9808474982044529,20052,0.08373229603032116,0.5833832036704568
news2,9,age_group,70-79,0.8983050847457628,0.43455347425101676,0.15437334018675575,0.9738125802310654,19463,0.10306735857781431,0.5997533782047989
news2,9,age_group,18-29,0.9624060150375939,0.5178890876565295,0.05604203152364273,0.997845756139595,4605,0.028881650380021717,0.4959826275787188
news2,9,age_group,80+,0.8942872397223706,0.41275581490918056,0.1899092970521542,0.9620689655172414,14040,0.1334045584045584,0.6282051282051282
news2,9,age_group,50-59,0.9101917255297679,0.46405841763247807,0.10132554482138845,0.9873147092360319,15918,0.062256564895087324,0.559241110692298
news2,9,age_group,40-49,0.9117647058823529,0.5019904969821497,0.08082484000948092,0.9916286149162862,8161,0.045827717191520644,0.5169709594412449
news2,9,age_group,30-39,0.943127962085308,0.5146968139773895,0.077734375,0.9952305246422893,5076,0.04156816390858944,0.5043341213553979
news2,9,diag_type,Cardiac,0.9073170731707317,0.4548578910043096,0.1152722443559097,0.9842993743359698,19766,0.07259941313366387,0.5714357988465041
news2,9,diag_type,Medical,0.9053955523149836,0.4567566147757718,0.13801055848846902,0.9804909220764575,62593,0.08764558337194255,0.5749844231783107
news2,9,diag_type,Surgical,0.8583815028901735,0.441648590021692,0.10344827586206896,0.9764988009592326,4956,0.06981436642453591,0.5792978208232445
news2,13,overall,overall,0.6195128663822761,0.8027933240055967,0.22190457413249212,0.9587479672370836,87315,0.08322739506384928,0.23235412013972398
news2,13,race_cat,White,0.6271937599716363,0.7931382606288571,0.21783031646348971,0.9586121388648351,67054,0.08412622662331852,0.2422226861932174
news2,13,race_cat,Other,0.5786290322580645,0.840198256708255,0.234860883797054,0.9592195121951219,6347,0.07814715613675752,0.19253190483693083
news2,13,race_cat,Hispanic,0.6011904761904762,0.8371012697429545,0.2774725274725275,0.9527670074021855,3565,0.09424964936886396,0.20420757363253858
news2,13,race_cat,Black,0.5991501416430595,0.8305263157894737,0.22596153846153846,0.9616738894907909,9256,0.07627484874675886,0.20224719101123595
news2,13,race_cat,Asian,0.5909090909090909,0.8288557213930349,0.23214285714285715,0.9585730724971231,1093,0.08051235132662397,0.20494053064958828
news2,13,sex,Male,0.6201848998459168,0.8032044981828986,0.21904761904761905,0.9596122337520481,47645,0.0817294574456921,0.2313988876062546
news2,13,sex,Female,0.6186239620403321,0.8022598870056498,0.2252456538170824,0.957691801552836,39657,0.08502912474468569,0.23352749829790453
news2,13,age_group,60-69,0.6241810601548541,0.7930659119359931,0.21608247422680413,0.9584923036442573,20052,0.08373229603032116,0.24187113504887292
news2,13,age_group,70-79,0.6106679960119641,0.7956693589963911,0.2556343906510851,0.9467657283075455,19463,0.10306735857781431,0.24621075887581564
news2,13,age_group,18-29,0.7819548872180451,0.8244633273703041,0.11698537682789652,0.9921959095801938,4605,0.028881650380021717,0.19305103148751357
news2,13,age_group,80+,0.5718099305926322,0.7978959480562177,0.30339943342776204,0.9236917221693625,14040,0.1334045584045584,0.2514245014245014
news2,13,age_group,50-59,0.6599394550958627,0.7988209285187915,0.17883511074651354,0.9725144767963462,15918,0.062256564895087324,0.22973991707500943
news2,13,age_group,40-49,0.6684491978609626,0.8248362655708231,0.15489467162329615,0.9810600274935085,8161,0.045827717191520644,0.1977698811420169
